id,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,availability_365
35194979,San Blas - Canillejas,Canillejas,40.44024,-3.61218,36,2,365
35195027,Fuencarral - El Pardo,Valverde,40.50533,-3.67103,30,1,0
35195094,Latina,Aguilas,40.37648,-3.76264,200,1,365
35195433,Villa de Vallecas,Casco Histórico de Vallecas,40.36466,-3.60016,400,1,180
35195453,San Blas - Canillejas,Rejas,40.444,-3.59137,85,1,0
35195487,Fuencarral - El Pardo,El Pardo,40.5195,-3.7785,500,2,0
35196097,Chamberí,Arapiles,40.43125,-3.70969,25,1,365
35196299,San Blas - Canillejas,Hellín,40.43025,-3.61878,900,1,0
35196754,Centro,Palacio,40.41623,-3.70907,79,1,13
35196758,San Blas - Canillejas,Canillejas,40.44341,-3.6093,250,1,89
35197314,Puente de Vallecas,Numancia,40.39993,-3.66285,105,2,364
35203690,Carabanchel,Comillas,40.39596,-3.71411,800,3,180
35207036,Ciudad Lineal,Quintana,40.43486,-3.64787,65,1,363
35209139,Chamberí,Gaztambide,40.43398,-3.71461,600,1,179
35209261,Fuencarral - El Pardo,Peñagrande,40.48078,-3.72067,60,1,364
35209554,San Blas - Canillejas,Rejas,40.44373,-3.58723,900,1,365
35209734,Usera,Orcasitas,40.37183,-3.71901,500,1,365
35210003,Centro,Palacio,40.4216,-3.71231,300,2,90
35210074,Tetuán,Castillejos,40.45903,-3.69765,54,2,0
35210296,Chamartín,Prosperidad,40.44152,-3.67005,67,1,74
35210337,San Blas - Canillejas,Simancas,40.43532,-3.61878,1500,2,365
35210357,Fuencarral - El Pardo,Pilar,40.47516,-3.7088,35,1,90
35210512,Centro,Cortes,40.41405,-3.69614,259,1,365
35210615,Villaverde,San Andrés,40.35073,-3.71434,200,1,91
35211161,San Blas - Canillejas,Simancas,40.43709,-3.62448,200,1,43
35212467,Centro,Palacio,40.42256,-3.70993,66,1,188
35212649,Usera,Pradolongo,40.38128,-3.70696,50,2,365
35212983,Carabanchel,Vista Alegre,40.38416,-3.74357,40,1,0
35213361,Centro,Palacio,40.41784,-3.70921,600,1,365
35214081,Arganzuela,Delicias,40.39961,-3.69708,110,1,0
35214966,Centro,Universidad,40.42147,-3.70128,150,1,263
35215167,Ciudad Lineal,Ventas,40.42989,-3.65028,1500,1,89
35215184,San Blas - Canillejas,Simancas,40.43682,-3.63117,250,1,0
35215252,Latina,Campamento,40.38111,-3.79426,1000,1,91
35216048,Ciudad Lineal,Pueblo Nuevo,40.42906,-3.63619,35,1,0
35216136,Centro,Embajadores,40.41113,-3.70128,69,15,83
35216523,Hortaleza,Valdefuentes,40.48806,-3.66785,500,1,365
35216967,Ciudad Lineal,Concepción,40.44237,-3.64353,1000,1,365
35217067,Chamberí,Arapiles,40.43035,-3.711,225,1,365
35217087,Chamberí,Gaztambide,40.43228,-3.71491,600,1,364
35217562,Latina,Puerta del Angel,40.40994,-3.73807,135,1,364
35217732,Retiro,Ibiza,40.41907,-3.67497,3990,1,180
35218762,San Blas - Canillejas,Rosas,40.42411,-3.6009,1200,1,365
35218949,Chamberí,Vallehermoso,40.44566,-3.70505,1111,1,88
35219024,Fuencarral - El Pardo,Mirasierra,40.4936,-3.72292,230,1,179
35219307,Villaverde,San Andrés,40.34269,-3.7131,200,1,90
35220138,Ciudad Lineal,Costillares,40.48052,-3.66636,75,1,0
35220395,Fuencarral - El Pardo,Peñagrande,40.47665,-3.72553,170,3,105
35220866,Chamberí,Gaztambide,40.43086,-3.71386,200,2,0
35220885,Arganzuela,Palos de Moguer,40.40371,-3.68967,31,1,46
35221419,Centro,Embajadores,40.40722,-3.70188,106,1,134
35222037,Chamberí,Arapiles,40.43089,-3.70899,1000,1,365
35223296,Chamartín,Nueva España,40.46219,-3.68805,850,2,365
